"new_cases"	"deaths"	"teryt"	"date"
2	0	"t0201"	"20210118"
6	0	"t0202"	"20210118"
4	0	"t0203"	"20210118"
1	0	"t0204"	"20210118"
2	0	"t0205"	"20210118"
17	0	"t0206"	"20210118"
1	0	"t0207"	"20210118"
10	0	"t0208"	"20210118"
1	0	"t0209"	"20210118"
1	0	"t0211"	"20210118"
4	0	"t0213"	"20210118"
14	0	"t0214"	"20210118"
3	0	"t0215"	"20210118"
2	0	"t0217"	"20210118"
1	0	"t0218"	"20210118"
5	0	"t0219"	"20210118"
2	0	"t0220"	"20210118"
2	0	"t0221"	"20210118"
2	0	"t0222"	"20210118"
17	0	"t0223"	"20210118"
5	0	"t0224"	"20210118"
1	0	"t0225"	"20210118"
4	0	"t0226"	"20210118"
11	0	"t0261"	"20210118"
7	0	"t0262"	"20210118"
27	0	"t0264"	"20210118"
4	0	"t0265"	"20210118"
3	0	"t0401"	"20210118"
9	0	"t0402"	"20210118"
14	0	"t0403"	"20210118"
3	0	"t0404"	"20210118"
1	0	"t0405"	"20210118"
5	0	"t0406"	"20210118"
7	1	"t0407"	"20210118"
5	0	"t0408"	"20210118"
1	0	"t0409"	"20210118"
7	0	"t0410"	"20210118"
5	0	"t0413"	"20210118"
13	0	"t0414"	"20210118"
9	0	"t0415"	"20210118"
3	0	"t0416"	"20210118"
4	0	"t0417"	"20210118"
8	0	"t0418"	"20210118"
11	1	"t0419"	"20210118"
53	0	"t0461"	"20210118"
6	0	"t0462"	"20210118"
20	1	"t0463"	"20210118"
14	0	"t0464"	"20210118"
1	4	"t0601"	"20210118"
5	0	"t0602"	"20210118"
1	0	"t0603"	"20210118"
3	0	"t0606"	"20210118"
1	4	"t0607"	"20210118"
2	0	"t0608"	"20210118"
8	0	"t0609"	"20210118"
4	0	"t0610"	"20210118"
5	0	"t0611"	"20210118"
2	0	"t0612"	"20210118"
3	0	"t0613"	"20210118"
6	0	"t0614"	"20210118"
1	0	"t0615"	"20210118"
1	0	"t0617"	"20210118"
2	0	"t0618"	"20210118"
6	0	"t0619"	"20210118"
1	0	"t0620"	"20210118"
3	1	"t0661"	"20210118"
3	0	"t0662"	"20210118"
24	0	"t0663"	"20210118"
3	0	"t0664"	"20210118"
13	0	"t0801"	"20210118"
16	0	"t0803"	"20210118"
3	0	"t0804"	"20210118"
3	0	"t0805"	"20210118"
9	0	"t0806"	"20210118"
5	0	"t0807"	"20210118"
6	0	"t0808"	"20210118"
5	0	"t0809"	"20210118"
1	0	"t0810"	"20210118"
7	0	"t0811"	"20210118"
1	0	"t0812"	"20210118"
23	0	"t0861"	"20210118"
7	0	"t0862"	"20210118"
2	0	"t1001"	"20210118"
6	0	"t1002"	"20210118"
4	0	"t1005"	"20210118"
3	0	"t1006"	"20210118"
2	0	"t1007"	"20210118"
3	0	"t1008"	"20210118"
3	0	"t1009"	"20210118"
4	0	"t1010"	"20210118"
2	0	"t1012"	"20210118"
8	0	"t1014"	"20210118"
0	2	"t1015"	"20210118"
2	0	"t1016"	"20210118"
1	0	"t1017"	"20210118"
2	0	"t1018"	"20210118"
3	0	"t1019"	"20210118"
5	0	"t1020"	"20210118"
2	0	"t1021"	"20210118"
43	0	"t1061"	"20210118"
1	0	"t1062"	"20210118"
1	0	"t1063"	"20210118"
4	0	"t1201"	"20210118"
2	0	"t1202"	"20210118"
4	0	"t1203"	"20210118"
2	0	"t1204"	"20210118"
3	0	"t1205"	"20210118"
63	0	"t1206"	"20210118"
3	0	"t1207"	"20210118"
9	0	"t1209"	"20210118"
5	0	"t1210"	"20210118"
1	0	"t1211"	"20210118"
4	0	"t1212"	"20210118"
7	0	"t1213"	"20210118"
2	0	"t1214"	"20210118"
3	0	"t1215"	"20210118"
4	0	"t1216"	"20210118"
3	0	"t1217"	"20210118"
12	0	"t1218"	"20210118"
10	0	"t1219"	"20210118"
154	0	"t1261"	"20210118"
3	0	"t1262"	"20210118"
8	0	"t1263"	"20210118"
9	0	"t1401"	"20210118"
1	0	"t1402"	"20210118"
3	0	"t1403"	"20210118"
10	0	"t1405"	"20210118"
19	0	"t1406"	"20210118"
9	2	"t1407"	"20210118"
13	0	"t1408"	"20210118"
2	0	"t1409"	"20210118"
1	0	"t1410"	"20210118"
3	0	"t1411"	"20210118"
10	0	"t1412"	"20210118"
5	0	"t1413"	"20210118"
7	0	"t1414"	"20210118"
3	0	"t1415"	"20210118"
38	0	"t1417"	"20210118"
19	0	"t1418"	"20210118"
3	0	"t1419"	"20210118"
9	0	"t1420"	"20210118"
34	0	"t1421"	"20210118"
12	0	"t1422"	"20210118"
3	0	"t1423"	"20210118"
1	0	"t1424"	"20210118"
